PlaceName StartingDate EndingDate
place1 1.05 6.05
place1 8.05 12.05
place1 15.05 21.05
place1 24.05 28.05
place1 29.05 6.06
place1 8.06 11.06
place1 12.06 21.06
place1 23.06 29.06
place2 2.05 6.05
place2 9.05 15.05
place2 16.05 19.05
place2 21.05 31.05
place2 3.06 10.06
place2 15.06 20.06
place2 21.06 27.06
place3 3.05 11.05
place3 12.05 16.05
place3 17.05 21.05
place3 22.05 27.05
place3 28.05 31.05
place3 1.06 12.06
place3 13.06 17.06
place3 18.06 23.06
place3 25.06 28.06
