PlaceName SalonNo StartAt EndsAt
place1 salon1 8:49 11:29
place1 salon1 11:46 14:26
place1 salon1 15:57 18:37
place1 salon2 11:57 14:07
place1 salon2 14:14 16:24
place1 salon2 17:38 19:48
place1 salon2 20:11 22:21
place1 salon3 8:12 10:07
place1 salon3 10:20 12:15
place1 salon3 12:42 14:37
place1 salon3 16:34 18:29
place1 salon3 19:11 21:06
place1 salon4 8:20 9:50
place1 salon4 10:25 11:55
place1 salon4 12:05 13:35
place1 salon4 14:53 16:23
place1 salon4 19:30 21:00
place1 salon4 21:36 23:06
place2 salon1 8:24 10:09
place2 salon1 10:17 12:02
place2 salon1 12:34 14:19
place2 salon1 15:04 16:49
place2 salon1 16:53 18:38
place2 salon1 20:23 22:08
place2 salon2 8:11 10:11
place2 salon2 10:20 12:20
place2 salon2 15:29 17:29
place2 salon2 19:43 21:43
place2 salon3 8:42 10:07
place2 salon3 10:17 11:42
place2 salon3 11:57 13:22
place2 salon3 14:12 15:37
place2 salon3 16:46 18:11
place2 salon4 9:29 12:29
place2 salon4 12:53 15:53
place2 salon4 20:52 23:52
place3 salon1 8:59 11:19
place3 salon1 11:29 13:49
place3 salon1 16:19 18:39
place3 salon1 18:40 21:00
place3 salon2 8:06 11:01
place3 salon2 11:19 14:14
place3 salon2 14:59 17:54
place3 salon3 8:09 9:49
place3 salon3 10:33 12:13
place3 salon3 14:10 15:50
place3 salon3 16:12 17:52
place3 salon3 18:08 19:48
place3 salon3 20:33 22:13
place3 salon4 8:31 10:36
place3 salon4 10:45 12:50
place3 salon4 13:57 16:02
place3 salon4 16:09 18:14
place3 salon4 18:36 20:41
